trip_distance,ride_time,fare_amount,pickup_hour,PULocationID,DOLocationID,passenger_count,payment_type
1.12,9.616667,8.0,11.0,190.0,225.0,1.0,
1.6,10.983334,8.5,15.0,84.0,238.0,3.0,
2.2,20.583334,14.5,16.0,200.0,218.0,1.0,
0.48,2.5,4.0,13.0,219.0,133.0,6.0,
3.22,14.583333,13.5,8.0,115.0,130.0,1.0,
1.26,5.45,6.0,20.0,125.0,228.0,1.0,
0.98,6.983333,6.5,18.0,68.0,101.0,1.0,
3.0,12.733334,11.5,22.0,68.0,154.0,1.0,
0.86,4.0666666,5.0,14.0,199.0,135.0,1.0,
2.55,23.783333,16.0,15.0,195.0,226.0,1.0,
0.63,4.0333333,4.5,11.0,132.0,219.0,1.0,
3.2,21.916666,15.0,20.0,134.0,106.0,2.0,
1.28,6.0333333,6.5,7.0,117.0,154.0,1.0,
18.83,81.833336,65.5,15.0,107.0,245.0,1.0,
0.8,5.616667,5.5,6.0,40.0,154.0,1.0,
0.87,8.716666,7.0,18.0,191.0,155.0,1.0,
0.8,8.1,4.5,10.0,191.0,177.0,1.0,
1.57,18.433332,12.0,11.0,200.0,219.0,1.0,
2.16,10.466666,9.5,17.0,220.0,135.0,1.0,
2.0,6.233333,7.5,21.0,117.0,144.0,1.0,
0.47,2.8833334,4.0,6.0,117.0,46.0,1.0,
13.19,49.716667,44.5,7.0,107.0,59.0,1.0,
2.28,19.183332,13.5,10.0,141.0,133.0,1.0,
0.8,5.4333334,4.5,1.0,195.0,222.0,1.0,
2.6,19.2,14.0,10.0,117.0,252.0,1.0,
1.1,11.933333,8.5,14.0,117.0,219.0,1.0,
8.54,20.9,25.0,21.0,113.0,130.0,1.0,
1.63,14.483334,10.5,12.0,194.0,41.0,1.0,
1.9,14.916667,11.5,12.0,197.0,154.0,1.0,
2.55,16.483334,12.5,22.0,91.0,154.0,2.0,
2.7,14.083333,10.5,19.0,37.0,101.0,1.0,
1.13,8.066667,7.0,13.0,117.0,227.0,1.0,
0.4,2.4666667,3.5,15.0,117.0,156.0,1.0,
1.06,7.85,7.0,18.0,132.0,218.0,1.0,
0.69,5.733333,5.5,20.0,40.0,177.0,3.0,
1.13,6.8333335,6.5,22.0,40.0,135.0,1.0,
4.18,30.033333,20.0,14.0,194.0,227.0,1.0,
2.55,19.133333,13.5,17.0,77.0,135.0,1.0,
1.05,7.0666666,6.5,15.0,40.0,66.0,2.0,
2.3,10.883333,10.0,8.0,220.0,154.0,2.0,
0.0,0.43333334,2.5,15.0,219.0,133.0,1.0,
6.0,28.15,24.5,7.0,84.0,220.0,1.0,
1.99,9.95,9.0,20.0,116.0,227.0,5.0,
0.94,10.483334,8.0,10.0,40.0,66.0,1.0,
2.15,12.5,10.0,11.0,198.0,227.0,1.0,
3.34,29.983334,19.0,9.0,220.0,66.0,1.0,
2.98,13.916667,12.0,19.0,220.0,46.0,1.0,
3.69,20.566668,15.5,17.0,195.0,252.0,1.0,
1.77,7.0,7.5,6.0,191.0,238.0,1.0,
1.6,10.933333,9.0,17.0,199.0,252.0,1.0,
