trip_distance,fare_amount,ride_time,pickup_hour,PULocationID,DOLocationID,passenger_count,payment_type
0.8,5.0,4.35,0,141,163,3,0
0.91,6.0,5.75,0,132,46,1,0
3.14,11.0,10.483333333333333,0,40,225,1,0
7.46,23.0,20.083333333333332,0,135,50,1,0
1.6,7.0,9.066666666666666,0,40,163,0,0
2.8,10.0,6.133333333333334,0,107,8,2,1
4.04,15.5,17.05,0,200,130,1,0
2.07,9.5,10.15,0,118,134,1,0
1.08,5.5,3.6,0,141,223,1,0
1.37,7.0,6.95,0,84,219,1,1
6.7,20.0,18.633333333333333,0,68,159,1,2
5.1,16.5,15.466666666666667,0,199,77,1,0
3.8,13.5,11.3,0,113,90,1,0
7.9,24.0,16.116666666666667,0,80,91,1,0
0.32,3.5,1.7,23,135,177,5,1
2.11,9.5,10.666666666666666,0,153,77,6,1
0.76,4.5,2.3666666666666667,0,92,101,4,0
1.57,8.0,9.083333333333334,0,194,46,6,0
4.41,16.0,18.033333333333335,0,141,5,1,0
4.92,16.5,17.216666666666665,0,112,227,1,1
0.86,4.5,2.25,0,199,228,1,1
2.26,9.0,8.816666666666666,0,58,222,1,0
1.56,8.0,9.083333333333334,0,112,46,1,0
0.86,4.5,2.9,0,58,66,1,0
0.87,4.5,2.1166666666666667,0,172,86,1,0
2.9,11.5,11.65,0,123,244,3,1
5.4,18.5,19.7,0,221,253,2,0
2.56,9.5,8.7,0,40,144,1,0
4.34,15.0,15.7,0,137,46,2,0
0.62,4.5,4.116666666666666,0,129,238,2,0
1.46,9.0,12.266666666666667,0,129,220,2,0
1.27,6.5,6.666666666666667,0,174,85,2,0
2.39,10.0,10.016666666666667,0,91,156,1,0
0.58,4.0,2.216666666666667,0,134,156,1,0
5.17,-18.5,22.616666666666667,0,84,171,1,3
5.17,18.5,22.616666666666667,0,84,171,1,1
12.97,37.5,29.016666666666666,0,107,179,1,1
4.2,13.0,11.7,0,208,225,4,0
6.9,21.0,16.033333333333335,0,197,85,1,0
0.8,4.5,2.316666666666667,0,192,107,4,1
17.63,52.0,30.333333333333332,0,107,157,3,1
4.63,16.5,17.4,0,195,23,1,0
1.2,6.0,5.166666666666667,0,134,46,1,1
3.9,13.0,12.1,0,195,252,1,0
3.9,16.0,18.3,0,198,2,3,0
6.7,23.0,28.433333333333334,0,208,5,1,0
0.9,6.0,5.733333333333333,0,208,223,1,0
1.3,7.5,7.816666666666666,0,195,219,1,0
0.7,4.0,2.316666666666667,0,141,177,1,1
2.49,9.5,9.333333333333334,0,77,226,1,1
1.2,6.5,6.2,0,133,218,1,0
0.6,5.0,4.75,0,208,200,1,0
10.0,30.5,25.033333333333335,0,208,233,1,0
11.31,31.0,19.966666666666665,0,113,62,2,0
2.87,10.5,10.716666666666667,0,208,156,1,0
1.99,8.5,8.766666666666667,0,134,226,1,0
4.95,18.0,23.25,0,116,145,1,1
0.97,5.5,5.233333333333333,0,208,200,3,1
1.16,5.5,4.45,0,119,101,3,0
1.43,6.0,4.4,0,68,163,2,0
5.14,16.5,16.166666666666668,0,153,72,1,0
0.53,4.0,2.8833333333333333,0,220,251,1,0
1.5,6.0,3.183333333333333,23,194,134,4,0
2.32,10.0,10.85,0,133,136,1,0
1.08,5.5,4.483333333333333,0,112,222,2,0
1.19,6.0,5.616666666666666,0,190,154,2,1
3.6,12.0,8.866666666666667,0,42,22,4,0
7.95,22.5,13.75,0,113,73,1,0
10.1,31.5,29.316666666666666,0,135,59,2,0
3.54,13.5,14.45,0,123,235,1,1
1.65,9.5,11.883333333333333,0,205,135,1,0
1.75,8.0,8.316666666666666,0,40,222,1,0
3.99,15.5,17.883333333333333,0,137,133,1,0
1.68,7.0,5.516666666666667,0,133,223,1,0
1.35,6.0,5.466666666666667,0,195,154,1,0
0.61,5.5,5.866666666666666,0,10,220,1,0
0.61,4.5,3.816666666666667,0,192,220,1,1
10.2,30.0,19.583333333333332,0,200,209,1,0
1.7,6.5,4.566666666666666,0,68,155,1,0
1.9,9.0,8.683333333333334,0,141,106,2,0
3.4,13.0,13.233333333333333,0,91,245,1,0
1.26,7.0,6.483333333333333,0,141,223,1,1
2.6,10.5,11.233333333333333,0,208,163,1,0
1.18,7.5,8.066666666666666,0,92,118,1,0
1.3,7.0,9.15,0,92,221,1,1
0.5,3.5,3.05,0,123,77,1,0
3.84,14.5,15.916666666666666,0,132,198,2,0
4.75,15.5,15.566666666666666,0,123,252,1,0
3.52,13.5,15.05,0,220,46,2,0
3.54,13.5,15.383333333333333,0,200,66,1,0
6.31,22.5,28.8,0,153,5,1,0
1.7,7.0,4.9,0,68,222,1,1
2.5,9.0,7.133333333333334,0,190,73,1,0
2.19,9.5,10.65,0,121,171,2,0
8.06,25.0,19.4,0,113,73,2,0
1.56,8.5,10.75,0,153,155,1,0
4.97,15.0,9.966666666666667,0,194,198,1,0
6.45,23.0,21.983333333333334,0,74,219,1,0
3.97,13.5,9.5,0,107,208,1,1
6.42,25.5,34.65,0,208,159,1,0
3.0,11.5,12.233333333333333,0,68,154,1,0
1.4,7.5,8.283333333333333,0,68,137,2,1
1.67,7.5,7.316666666666666,0,58,157,1,1
1.48,8.0,9.733333333333333,0,135,97,1,0
12.43,38.0,29.383333333333333,0,84,237,1,0
1.8,8.5,8.283333333333333,0,132,77,1,0
3.0,12.5,14.633333333333333,0,68,219,3,0
0.32,3.0,0.7666666666666667,0,116,134,1,0
7.83,24.5,20.333333333333332,0,133,63,1,0
4.03,17.0,20.833333333333332,0,20,97,1,0
8.11,25.0,17.066666666666666,0,113,22,6,0
4.82,17.0,15.433333333333334,0,113,5,1,1
1.49,8.5,10.966666666666667,0,92,77,1,0
3.74,11.5,9.283333333333333,0,68,251,1,0
1.6,7.0,5.916666666666667,23,88,88,1,0
5.11,18.0,17.1,0,208,105,1,1
2.1,8.5,8.783333333333333,0,191,134,1,0
4.8,17.5,20.35,0,194,212,1,0
2.11,9.0,8.616666666666667,0,91,219,2,0
3.44,13.5,15.366666666666667,0,191,141,1,0
0.0,52.0,0.13333333333333333,0,58,66,1,1
0.0,35.0,0.11666666666666667,0,58,66,1,0
5.52,17.5,13.066666666666666,0,190,86,1,0
3.17,12.0,12.716666666666667,0,74,213,1,0
1.5,7.0,6.1,0,88,163,1,0
0.93,5.5,4.6,0,84,154,4,1
3.13,12.5,14.2,0,141,141,1,0
0.76,5.0,4.166666666666667,0,92,106,1,0
1.13,5.5,4.2,0,92,88,1,0
19.32,52.0,36.833333333333336,0,107,136,1,0
5.2,17.5,16.316666666666666,0,107,205,3,0
1.6,7.5,8.616666666666667,0,133,177,1,0
1.2,5.5,6.116666666666666,0,133,134,1,0
1.27,7.0,7.083333333333333,0,91,200,1,0
4.08,15.0,16.833333333333332,0,208,135,1,0
2.03,8.0,7.683333333333334,0,40,238,1,0
3.24,12.5,14.566666666666666,0,174,154,2,0
0.0,-52.0,0.1,0,199,227,1,3
0.0,52.0,0.1,0,199,227,1,1
11.16,35.0,29.866666666666667,0,199,78,1,0
2.75,10.5,10.666666666666666,0,153,220,1,0
0.4,3.5,2.0833333333333335,0,116,133,1,0
0.6,4.5,3.5,0,174,238,2,0
6.1,18.0,16.066666666666666,0,192,225,4,0
0.92,5.5,4.7,0,134,136,3,0
0.47,3.5,2.066666666666667,0,40,46,2,0
1.82,7.5,7.5,0,153,156,2,0
0.56,4.5,4.016666666666667,1,153,66,3,0
1.02,6.0,6.533333333333333,0,208,200,2,0
4.86,19.0,23.683333333333334,0,129,47,1,1
1.16,6.5,6.5,0,123,77,4,0
3.24,10.5,8.15,0,68,133,1,0
15.44,44.5,33.36666666666667,0,113,179,1,1
1.51,7.0,6.233333333333333,0,141,223,6,1
3.83,12.5,11.983333333333333,0,195,250,6,0
3.15,11.5,10.966666666666667,0,135,251,1,1
3.69,13.5,12.366666666666667,0,113,90,2,0
7.8,24.0,17.266666666666666,0,40,232,1,0
17.9,52.0,37.233333333333334,0,107,48,2,0
9.31,28.0,24.083333333333332,0,221,144,1,0
3.39,13.5,13.683333333333334,0,208,63,1,1
